brand id,product brand
1,Unknown
2,Farmer's Market
3,PC Organics
4,President's Choice
5,Rooster
6,Manns
7,Paramount
8,Well
9,No Name
10,Earthbound Farms Organic
11,Tiffany Gates
12,Bolthouse
13,POM Wonderful
14,Inspired Leaves
15,Taylor Farms
16,Love Beets
17,Aurora
18,Dole
19,Marzetti
20,Fresh Attitude
21,PC Blue Menu
22,Renees
23,Remedy
24,The Little Potato Company
25,Summer Fresh
26,Eat Smart
27,Wholly Guacamole
28,Duda Farms
29,Gourmet Garden
30,Greenhouse
31,GoodLeaf
32,Loop
33,Sunrich
34,Litehouse
35,7D
36,COVE
